Column1,Date...Time,City,Date,Month,Year,lat,lon
4815,8/22/2009 21:00,Fresno,8/22/2009,9-Aug,2009,36.7468422,-119.7725868
4814,8/22/2009 21:43,San Diego,8/22/2009,9-Aug,2009,32.715738,-117.1610838
4813,8/22/2009 21:50,Rancho Cucamonga,8/22/2009,9-Aug,2009,34.1063989,-117.5931084
4811,8/23/2009 13:30,San Diego,8/23/2009,9-Aug,2009,32.715738,-117.1610838
4812,8/23/2009 13:30,San Diego,8/23/2009,9-Aug,2009,32.715738,-117.1610838
4810,8/23/2009 16:00,Salyer,8/23/2009,9-Aug,2009,40.8917517,-123.5827846
4809,8/23/2009 20:40,Santa Rosa,8/23/2009,9-Aug,2009,38.440429,-122.7140548
4808,8/23/2009 20:50,Santa Rosa,8/23/2009,9-Aug,2009,38.440429,-122.7140548
4807,8/23/2009 21:00,Santa Rosa,8/23/2009,9-Aug,2009,38.440429,-122.7140548
4806,8/23/2009 22:00,Tustin,8/23/2009,9-Aug,2009,33.7458511,-117.826166
4805,8/24/2009,Bell,8/24/2009,9-Aug,2009,33.9775142,-118.1870156
4804,8/24/2009 0:30,La Mesa,8/24/2009,9-Aug,2009,32.7678287,-117.0230839
4803,8/24/2009 17:30,Modesto,8/24/2009,9-Aug,2009,37.6390972,-120.9968782
4802,8/25/2009 4:30,Concord,8/25/2009,9-Aug,2009,37.9779776,-122.0310733
4800,8/25/2009 21:31,Carmichael,8/25/2009,9-Aug,2009,38.617127,-121.3282843
4801,8/25/2009 21:31,Carmichael,8/25/2009,9-Aug,2009,38.617127,-121.3282843
4799,8/25/2009 21:45,Aliso Viejo,8/25/2009,9-Aug,2009,33.5676842,-117.7256083
4798,8/25/2009 22:15,Corona,8/25/2009,9-Aug,2009,33.8752935,-117.5664384
4797,8/26/2009 20:45,Clovis,8/26/2009,9-Aug,2009,36.8252277,-119.7029194
4796,8/26/2009 21:30,Modesto,8/26/2009,9-Aug,2009,37.6390972,-120.9968782
4795,8/27/2009 21:00,Modesto,8/27/2009,9-Aug,2009,37.6390972,-120.9968782
4794,8/27/2009 22:00,San Diego,8/27/2009,9-Aug,2009,32.715738,-117.1610838
4793,8/27/2009 22:15,San Rafael,8/27/2009,9-Aug,2009,37.9735346,-122.5310874
4792,8/28/2009 19:20,Rolling Hills,8/28/2009,9-Aug,2009,33.7569615,-118.3539613
4791,8/28/2009 19:56,Westlake Village,8/28/2009,9-Aug,2009,34.1466467,-118.8073729
4790,8/29/2009 0:10,Hayward,8/29/2009,9-Aug,2009,37.6688205,-122.0807964
4789,8/29/2009 2:00,San Diego,8/29/2009,9-Aug,2009,32.715738,-117.1610838
4788,8/29/2009 5:20,La Palma,8/29/2009,9-Aug,2009,33.846404,-118.0467306
4787,8/29/2009 20:00,San Leandro,8/29/2009,9-Aug,2009,37.7249296,-122.1560768
4786,8/30/2009 4:30,Mountain Ranch,8/30/2009,9-Aug,2009,38.2282509,-120.5407599
4785,8/30/2009 23:00,Cedar Glen,8/30/2009,9-Aug,2009,34.2530025,-117.16316
4784,8/31/2009 0:01,Escondido,8/31/2009,9-Aug,2009,33.1192068,-117.086421
4783,8/31/2009 23:50,Escondido,8/31/2009,9-Aug,2009,33.1192068,-117.086421
4782,9/1/2009 23:00,Sausalito,9/1/2009,9-Sep,2009,37.8590937,-122.4852507
4781,9/2/2009 11:00,Healdsburg,9/2/2009,9-Sep,2009,38.6104658,-122.8691609
4780,9/2/2009 22:00,Los Angeles,9/2/2009,9-Sep,2009,34.0522342,-118.2436849
4779,9/3/2009 4:49,Rio Vista,9/3/2009,9-Sep,2009,38.1557502,-121.6913439
4778,9/3/2009 22:00,San Diego,9/3/2009,9-Sep,2009,32.715738,-117.1610838
4777,9/3/2009 23:30,Los Angeles,9/3/2009,9-Sep,2009,34.0522342,-118.2436849
4776,9/5/2009 8:40,Fair Oaks,9/5/2009,9-Sep,2009,38.6446264,-121.2721718
4775,9/5/2009 12:10,Glendora,9/5/2009,9-Sep,2009,34.1361187,-117.865339
4774,9/6/2009 22:35,Escondido,9/6/2009,9-Sep,2009,33.1192068,-117.086421
4773,9/7/2009 18:00,San Jose,9/7/2009,9-Sep,2009,37.3382082,-121.8863286
4772,9/7/2009 21:05,San Jose,9/7/2009,9-Sep,2009,37.3382082,-121.8863286
4771,9/7/2009 21:15,San Jose,9/7/2009,9-Sep,2009,37.3382082,-121.8863286
4769,9/8/2009 19:45,Newbury Park,9/8/2009,9-Sep,2009,34.1841074,-118.9100199
4768,9/8/2009 19:48,Los Angeles,9/8/2009,9-Sep,2009,34.0522342,-118.2436849
4767,9/8/2009 20:00,Paradise,9/8/2009,9-Sep,2009,39.7596061,-121.6219177
4766,9/8/2009 20:18,Santa Clara,9/8/2009,9-Sep,2009,37.3541079,-121.9552356
4765,9/8/2009 21:26,Roseville,9/8/2009,9-Sep,2009,38.7521235,-121.2880059
4764,9/9/2009 20:30,Lower Lake,9/9/2009,9-Sep,2009,38.9104546,-122.6102614
4763,9/11/2009 1:00,Burbank,9/11/2009,9-Sep,2009,34.1808392,-118.3089661
4762,9/12/2009 10:30,Corona,9/12/2009,9-Sep,2009,33.8752935,-117.5664384
4761,9/12/2009 11:46,Auburn,9/12/2009,9-Sep,2009,38.8965654,-121.0768901
4760,9/12/2009 20:30,Ridgecrest,9/12/2009,9-Sep,2009,35.6224561,-117.6708966
4759,9/12/2009 22:53,Encino,9/12/2009,9-Sep,2009,34.1517492,-118.5214282
4758,9/13/2009 20:00,Modesto,9/13/2009,9-Sep,2009,37.6390972,-120.9968782
4757,9/14/2009 0:30,Fontana,9/14/2009,9-Sep,2009,34.0922335,-117.435048
4756,9/14/2009 20:27,Vallejo,9/14/2009,9-Sep,2009,38.1040864,-122.2566367
4755,9/14/2009 23:00,Glendale,9/14/2009,9-Sep,2009,34.1425078,-118.255075
4754,9/15/2009 8:30,El Dorado Hills,9/15/2009,9-Sep,2009,38.6857367,-121.082167
4753,9/15/2009 23:00,Loleta,9/15/2009,9-Sep,2009,40.6411002,-124.2263437
4752,9/16/2009 0:10,Los Angeles,9/16/2009,9-Sep,2009,34.0522342,-118.2436849
4751,9/17/2009 1:45,Santa Cruz/Aptos,9/17/2009,9-Sep,2009,36.9771729,-121.8994016
4750,9/17/2009 11:50,Auburn,9/17/2009,9-Sep,2009,38.8965654,-121.0768901
4749,9/18/2009 4:15,Huntington Beach,9/18/2009,9-Sep,2009,33.660297,-117.9992265
4748,9/18/2009 21:15,Redding,9/18/2009,9-Sep,2009,40.5865396,-122.3916754
4747,9/19/2009 23:20,San Diego,9/19/2009,9-Sep,2009,32.715738,-117.1610838
4746,9/20/2009 19:40,Anaheim,9/20/2009,9-Sep,2009,33.8352932,-117.9145036
4745,9/20/2009 22:30,Modesto,9/20/2009,9-Sep,2009,37.6390972,-120.9968782
4744,9/20/2009 23:30,Porterville,9/20/2009,9-Sep,2009,36.06523,-119.0167679
4743,9/21/2009 21:45,Compton,9/21/2009,9-Sep,2009,33.8958492,-118.2200712
4742,9/22/2009 23:00,Big Bear City,9/22/2009,9-Sep,2009,34.2611183,-116.84503
4741,9/23/2009 16:30,Davis,9/23/2009,9-Sep,2009,38.5449065,-121.7405167
4740,9/23/2009 21:00,San Diego,9/23/2009,9-Sep,2009,32.715738,-117.1610838
4739,9/23/2009 22:30,Salida,9/23/2009,9-Sep,2009,37.7057623,-121.0849369
4738,9/23/2009 23:00,Lancaster,9/23/2009,9-Sep,2009,34.6867846,-118.1541632
4737,9/24/2009 22:13,Norwalk,9/24/2009,9-Sep,2009,33.9022367,-118.081733
4732,9/26/2009 0:00,Corona,9/26/2009,9-Sep,2009,33.8752935,-117.5664384
4736,9/26/2009 13:05,San Jose,9/26/2009,9-Sep,2009,37.3382082,-121.8863286
4735,9/26/2009 17:50,Millbrae,9/26/2009,9-Sep,2009,37.5985468,-122.3871942
4734,9/26/2009 23:40,Azusa,9/26/2009,9-Sep,2009,34.1336186,-117.9075627
4733,9/26/2009 23:45,Moreno Valley,9/26/2009,9-Sep,2009,33.9424658,-117.2296717
4731,9/27/2009 19:44,Irwindale/Azusa,9/27/2009,9-Sep,2009,34.1179804,-117.9338862
4730,9/27/2009 20:30,Modesto,9/27/2009,9-Sep,2009,37.6390972,-120.9968782
4729,9/28/2009 17:15,Moreno Valley,9/28/2009,9-Sep,2009,33.9424658,-117.2296717
4728,9/28/2009 23:00,Modesto,9/28/2009,9-Sep,2009,37.6390972,-120.9968782
4727,10/1/2009,Redding,10/1/2009,9-Oct,2009,40.5865396,-122.3916754
4726,10/2/2009 22:00,Modesto,10/2/2009,9-Oct,2009,37.6390972,-120.9968782
4725,10/2/2009 23:00,Visalia,10/2/2009,9-Oct,2009,36.3302284,-119.2920585
4724,10/3/2009 22:00,Mill Valley,10/3/2009,9-Oct,2009,37.9060368,-122.5449763
4723,10/7/2009 22:55,Los Angeles,10/7/2009,9-Oct,2009,34.0522342,-118.2436849
4722,10/9/2009 10:00,Simi Valley,10/9/2009,9-Oct,2009,34.2694474,-118.781482
4721,10/9/2009 19:30,Escondido,10/9/2009,9-Oct,2009,33.1192068,-117.086421
4720,10/10/2009 20:30,Anaheim,10/10/2009,9-Oct,2009,33.8352932,-117.9145036
4719,10/10/2009 23:23,Cupertino,10/10/2009,9-Oct,2009,37.3229978,-122.0321823
4718,10/13/2009 20:30,Stockton,10/13/2009,9-Oct,2009,37.9577016,-121.2907796
4717,10/14/2009 1:30,Fresno,10/14/2009,9-Oct,2009,36.7468422,-119.7725868
4716,10/14/2009 9:00,Concord,10/14/2009,9-Oct,2009,37.9779776,-122.0310733
4715,10/16/2009 1:00,Los Angeles,10/16/2009,9-Oct,2009,34.0522342,-118.2436849
4714,10/16/2009 7:02,Pomona,10/16/2009,9-Oct,2009,34.055103,-117.7499909
4713,10/16/2009 13:00,Garden Grove,10/16/2009,9-Oct,2009,33.7739053,-117.9414477
4712,10/16/2009 15:50,San Jose,10/16/2009,9-Oct,2009,37.3382082,-121.8863286
4711,10/17/2009 0:00,Murrieta,10/17/2009,9-Oct,2009,33.5539143,-117.2139232
4710,10/17/2009 1:45,Los Angeles,10/17/2009,9-Oct,2009,34.0522342,-118.2436849
4709,10/17/2009 6:30,Littlerock,10/17/2009,9-Oct,2009,34.521104,-117.9836793
4708,10/17/2009 15:00,San Jose/Bay Area,10/17/2009,9-Oct,2009,37.3382082,-121.8863286
4707,10/17/2009 19:15,Lakeside,10/17/2009,9-Oct,2009,32.8572718,-116.9222488
4706,10/21/2009 18:00,Canyon Country,10/21/2009,9-Oct,2009,34.4233293,-118.4720281
4705,10/23/2009 23:16,Milpitas,10/23/2009,9-Oct,2009,37.4323341,-121.8995741
4704,10/24/2009 7:00,Fontana,10/24/2009,9-Oct,2009,34.0922335,-117.435048
4703,10/24/2009 10:25,Crestline,10/24/2009,9-Oct,2009,34.2419509,-117.2855993
4702,10/24/2009 23:20,Santa Rosa,10/24/2009,9-Oct,2009,38.440429,-122.7140548
4701,10/25/2009 11:00,El Cajon,10/25/2009,9-Oct,2009,32.7947731,-116.9625269
4700,10/25/2009 20:30,Hemet,10/25/2009,9-Oct,2009,33.7475203,-116.9719684
4699,10/25/2009 20:45,Hemet,10/25/2009,9-Oct,2009,33.7475203,-116.9719684
4698,10/26/2009 20:45,Chester,10/26/2009,9-Oct,2009,40.3062736,-121.2319098
4697,10/27/2009 20:00,San Pedro,10/27/2009,9-Oct,2009,33.7360619,-118.2922461
4696,10/27/2009 21:16,Sam Miguel,10/27/2009,9-Oct,2009,32.715738,-117.1610838
4695,10/28/2009 1:00,Oakland,10/28/2009,9-Oct,2009,37.8043637,-122.2711137
4694,10/28/2009 19:30,Santa Clarita County (126 freeway),10/28/2009,9-Oct,2009,37.1605515,-121.6616261
4692,10/28/2009 21:30,Crestline,10/28/2009,9-Oct,2009,34.2419509,-117.2855993
4693,10/28/2009 21:30,Santa Clarita,10/28/2009,9-Oct,2009,34.3916641,-118.542586
4691,10/29/2009 4:15,San Francisco,10/29/2009,9-Oct,2009,37.7749295,-122.4194155
4690,10/30/2009 22:20,Anaheim,10/30/2009,9-Oct,2009,33.8352932,-117.9145036
4689,10/30/2009 22:30,Riverside,10/30/2009,9-Oct,2009,33.9533487,-117.3961564
4688,10/31/2009 20:00,Springville,10/31/2009,9-Oct,2009,36.1302265,-118.8181495
4687,10/31/2009 21:30,Santa Monica,10/31/2009,9-Oct,2009,34.0194543,-118.4911912
4686,11/1/2009 1:48,Redding,11/1/2009,9-Nov,2009,40.5865396,-122.3916754
4685,11/1/2009 18:06,Redondo Beach,11/1/2009,9-Nov,2009,33.8491816,-118.3884078
4684,11/1/2009 21:25,El Dorado Hills (suburb of Sacramento),11/1/2009,9-Nov,2009,38.5815719,-121.4943996
4683,11/4/2009 18:00,Pleasanton,11/4/2009,9-Nov,2009,37.6624312,-121.8746789
4682,11/5/2009 5:00,Valencia,11/5/2009,9-Nov,2009,34.4560447,-118.5713357
4681,11/7/2009 9:00,Saline Valley,11/7/2009,9-Nov,2009,36.300308,-116.410599
4680,11/8/2009 17:00,Rubidoux,11/8/2009,9-Nov,2009,33.9958669,-117.4262714
4679,11/8/2009 19:10,San Bruno,11/8/2009,9-Nov,2009,37.6304904,-122.4110835
4678,11/8/2009 20:17,Chester,11/8/2009,9-Nov,2009,40.3062736,-121.2319098
4677,11/9/2009 18:40,Hesperia,11/9/2009,9-Nov,2009,34.4263886,-117.3008784
4676,11/10/2009 8:20,Long Beach,11/10/2009,9-Nov,2009,33.7700504,-118.1937395
4675,11/11/2009 17:35,Monterey/San Francisco (between; in-flight sighting),11/11/2009,9-Nov,2009,36.778261,-119.4179324
4674,11/13/2009 3:00,Camarillo,11/13/2009,9-Nov,2009,34.2163937,-119.0376023
4673,11/13/2009 21:30,Hickman,11/13/2009,9-Nov,2009,37.6235428,-120.7538163
4672,11/14/2009 20:36,Monterey,11/14/2009,9-Nov,2009,36.6002378,-121.8946761
4671,11/15/2009 19:30,Healdsburg,11/15/2009,9-Nov,2009,38.6104658,-122.8691609
4670,11/16/2009 19:57,Paradise,11/16/2009,9-Nov,2009,39.7596061,-121.6219177
4669,11/16/2009 22:20,Ventura,11/16/2009,9-Nov,2009,34.274646,-119.2290316
4668,11/16/2009 22:28,Venice,11/16/2009,9-Nov,2009,33.9850469,-118.4694832
4667,11/17/2009 1:13,Woodland Hills,11/17/2009,9-Nov,2009,34.165357,-118.6089752
4666,11/17/2009 17:35,Death Valley (Stovepipe Wells),11/17/2009,9-Nov,2009,36.6062109,-117.1464726
4665,11/17/2009 23:05,Ridgecrest,11/17/2009,9-Nov,2009,35.6224561,-117.6708966
4664,11/19/2009 2:00,Fontana,11/19/2009,9-Nov,2009,34.0922335,-117.435048
4663,11/19/2009 21:09,Carmel,11/19/2009,9-Nov,2009,36.5552386,-121.9232879
4662,11/20/2009 16:00,Simi Valley,11/20/2009,9-Nov,2009,34.2694474,-118.781482
4661,11/20/2009 17:50,Vista,11/20/2009,9-Nov,2009,33.2000368,-117.2425355
4660,11/22/2009 18:45,Union City,11/22/2009,9-Nov,2009,37.5933918,-122.0438298
4659,11/22/2009 21:44,San Bernardino,11/22/2009,9-Nov,2009,34.1083449,-117.2897652
